,rental_id,rent,Unit Price ($/ft2),Discount Rate (γ),Balanced Price,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,NEW NEIGHBOR,borough,
648,4243,3100,5.354,0.7819792921,6.846803715,0.5,1,579,3,11,31,0,1,0,0,1,1,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016692"
652,2019,8095,4.767,0.985779237,4.836147082,3,3,1698,43,11,10,0,1,1,1,1,1,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016693"
654,5706,7995,5.896,0.9466046632,6.228595662,2,2,1356,43,15,8,1,0,0,1,1,0,1,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016694"
667,5553,2650,4.827,0.7819792921,6.172744156,0.5,1,549,2,14,29,0,0,0,1,1,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016695"
701,10675,4250,5.253,0.7749206845,6.779273496,1,1,809,7,21,33,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016696"
703,10563,2935,5.250,0.7819792921,6.714304689,0.5,1,559,7,33,33,1,1,0,1,1,1,1,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016697"
785,773,12000,6.908,0.985779237,7.008123734,3,3,1737,43,20,8,0,0,0,1,1,0,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016698"
821,5456,3200,5.145,0.7819792921,6.579067484,0.5,1,622,5,10,31,0,0,0,0,0,1,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016699"
847,971,3600,5.389,0.7749206845,6.954546013,1,1,668,5,7,30,0,0,0,1,1,1,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016700"
899,11246,3187,4.903,0.8618439948,5.689053881,2,1,650,2,18,29,0,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016701"
994,1809,5900,7.275,0.7749206845,9.388017792,1,1,811,6,31,5,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016702"
1017,8801,2925,4.500,0.7749206845,5.807045921,1,1,650,5,6,31,1,0,1,0,0,1,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016703"
1038,2871,3050,6.302,0.7819792921,8.058593055,0.5,1,484,6,7,33,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016704"
1103,9301,5800,7.152,0.7749206845,9.228898847,1,1,811,6,29,5,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016705"
1113,6684,3690,4.601,0.7749206845,5.937378622,1,1,802,7,15,33,1,0,0,1,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016706"
1185,8900,7800,6.577,0.9466046632,6.947703466,2,2,1186,6,8,5,1,0,0,0,0,1,1,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016707"
1223,195,3850,5.772,0.7819792921,7.381415341,0.5,1,667,6,4,8,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016708"
1229,1047,9900,5.858,0.9466046632,6.188420989,2,2,1690,3,37,13,0,0,1,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016709"
1263,7750,7100,5.917,0.9466046632,6.250409381,2,2,1200,7,16,14,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016710"
1264,2403,6950,6.043,0.9466046632,6.384374064,2,2,1150,6,5,11,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016711"
1276,648,12500,5.860,0.985779237,5.944830699,3,3,2133,5,15,31,0,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016712"
1279,7013,4370,5.316,0.7749206845,6.860446249,1,1,822,3,9,31,1,0,1,1,1,1,1,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016713"
1346,3347,2600,4.727,0.7819792921,6.045265872,0.5,1,550,5,3,30,0,0,1,1,1,1,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016714"
1364,9109,7295,6.069,0.9660789048,6.282148953,3,2,1202,2,21,28,1,1,0,1,1,0,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016715"
1377,4179,5850,5.087,0.9466046632,5.373897594,2,2,1150,43,10,10,0,0,0,1,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016716"
1406,4676,13500,5.616,0.9906875344,5.668427636,4,3,2404,5,3,31,0,0,1,0,1,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016717"
1455,6686,5310,4.589,0.9466046632,4.84833391,2,2,1157,6,25,33,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016718"
1464,5573,2950,5.463,0.7749206845,7.049705953,1,1,540,5,5,30,0,0,1,0,1,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016719"
1468,7956,4275,4.022,0.9466046632,4.24848623,2,2,1063,5,1,18,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016720"
1485,6719,4100,5.374,0.7749206845,6.934291037,1,1,763,3,11,31,1,1,1,1,1,1,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016721"
1510,6345,7550,5.377,0.9466046632,5.680822297,2,2,1404,43,23,10,0,0,1,1,1,1,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016722"
1634,6118,3050,4.919,0.7749206845,6.348204322,1,1,620,4,6,31,0,1,0,0,1,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016723"
1715,5570,3250,4.909,0.7749206845,6.33531361,1,1,662,2,31,29,0,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016724"
1780,6101,4300,5.534,0.7749206845,7.141512215,1,1,777,5,8,31,0,1,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016725"
1790,10557,4500,4.620,0.9466046632,4.880731506,2,2,974,5,4,18,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016726"
1857,10271,3500,5.201,0.7749206845,6.711131162,1,1,673,3,6,28,0,0,0,1,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016727"
1914,8883,3675,5.937,0.7819792921,7.592266462,0.5,1,619,6,3,8,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016728"
1940,7961,4700,5.137,0.9466046632,5.426354022,2,2,915,3,3,31,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016729"
1944,8901,11750,6.887,0.9466046632,7.27595828,2,2,1706,6,22,8,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016730"
1948,4648,6600,4.918,0.9466046632,5.195445341,2,2,1342,2,17,28,0,0,1,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016731"
1992,8884,8800,6.957,0.9466046632,7.348919786,2,2,1265,6,21,5,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016732"
2003,7171,4955,5.036,0.9466046632,5.319611556,2,2,984,6,3,33,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016733"
2035,7444,3625,6.591,0.7819792921,8.428495687,0.5,1,550,7,6,14,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016734"
2037,3464,3975,5.129,0.7749206845,6.618783523,1,1,775,6,3,33,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016735"
2061,8899,10750,7.916,0.9466046632,8.362575557,2,2,1358,6,23,5,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016736"
2062,6734,3600,5.902,0.7749206845,7.615797929,1,1,610,2,26,29,0,0,1,1,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016737"
2099,2787,7675,6.359,0.9466046632,6.717419559,2,2,1207,6,22,8,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016738"
2150,9106,10000,7.123,0.9466046632,7.524267943,2,2,1404,43,35,10,1,1,0,1,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016739"
2157,6526,7750,5.775,0.9466046632,6.100712332,2,2,1342,2,15,28,1,1,1,1,1,1,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016740"
2170,2775,5795,6.165,0.8618439948,7.153143324,2,1,940,43,9,8,0,0,1,1,1,1,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016741"
2181,6398,3150,4.539,0.7749206845,5.857250929,1,1,694,5,4,18,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016742"
2182,1147,11800,7.020,0.9660789048,7.266105425,3,2,1681,43,20,8,0,1,0,1,1,1,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016743"
2186,4783,2800,5.147,0.7819792921,6.582090953,0.5,1,544,3,8,31,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016744"
2233,6173,3250,6.500,0.7819792921,8.312240575,0.5,1,500,6,3,11,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016745"
2238,8800,6600,5.546,0.9466046632,5.85906525,2,2,1190,43,32,10,0,1,0,1,1,0,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016746"
2281,474,3000,5.455,0.7749206845,7.03884354,1,1,550,5,2,30,0,0,0,0,1,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016747"
2344,204,3500,4.972,0.7749206845,6.415612602,1,1,704,6,5,30,0,1,1,1,1,1,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016748"
2353,9295,3900,6.000,0.7749206845,7.742727895,1,1,650,5,3,30,0,0,0,1,1,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016749"
2402,5969,9785,5.974,0.9551030284,6.254559242,2.5,2,1638,2,40,29,0,0,1,1,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016750"
2549,2382,8400,6.462,0.9466046632,6.826015878,2,2,1300,7,19,14,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016751"
2578,2383,7500,6.122,0.9466046632,6.467799302,2,2,1225,7,11,14,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016752"
2633,188,10500,6.616,0.985779237,6.711702621,3,3,1587,5,19,10,0,1,1,1,1,0,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016753"
2658,1788,3000,4.717,0.7819792921,6.032104916,0.5,1,636,7,24,33,0,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016754"
2668,6238,5850,5.114,0.9466046632,5.402082371,2,2,1144,3,5,18,1,0,0,1,1,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016755"
2701,1576,5995,6.193,0.9466046632,6.542521983,2,2,968,2,12,28,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016756"
2733,2517,6500,5.652,0.9466046632,5.970997326,2,2,1150,6,19,11,1,0,0,0,1,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016757"
2770,9935,3600,4.688,0.7749206845,6.049006168,1,1,768,2,3,26,0,0,1,1,1,0,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016758"
2795,6683,2925,5.043,0.7819792921,6.44915217,0.5,1,580,6,12,33,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016759"
2830,5328,3195,5.112,0.7749206845,6.596804166,1,1,625,4,3,30,0,1,0,1,1,1,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016760"
2845,4195,6840,5.323,0.9660789048,5.509857602,3,2,1285,7,10,33,1,0,0,1,0,0,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016761"
2901,6451,13800,9.787,0.9466046632,10.3393047,2,2,1410,43,22,8,0,0,0,0,1,1,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016762"
2948,5111,4625,6.167,0.7749206845,7.957803669,1,1,750,6,18,11,1,0,1,1,0,1,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016763"
3012,2384,11500,7.188,0.985779237,7.291186231,3,3,1600,7,7,14,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016764"
3040,10268,9500,5.595,0.985779237,5.675527768,3,3,1698,43,19,10,1,1,1,0,1,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016765"
3064,1340,5300,5.295,0.9466046632,5.593364897,2,2,1001,3,4,18,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016766"
3075,9300,5400,6.658,0.7749206845,8.592423064,1,1,811,6,19,5,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016767"
3076,2090,6900,5.872,0.9466046632,6.203582819,2,2,1175,6,7,5,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016768"
3147,3675,13000,7.656,0.985779237,7.766511682,3,3,1698,43,4,10,0,0,1,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016769"
3247,2097,4650,5.954,0.7749206845,7.68324471,1,1,781,6,10,8,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016770"
3248,8754,6850,4.879,0.9466046632,5.154123541,2,2,1404,43,6,10,0,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016771"
3280,2510,8750,6.535,0.9466046632,6.90333321,2,2,1339,43,33,8,1,0,1,1,1,1,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016772"
3314,10518,6995,5.356,0.9466046632,5.658168835,2,2,1306,2,8,28,1,0,1,0,1,1,1,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016773"
3341,4565,7900,6.655,0.9466046632,7.030848384,2,2,1187,6,25,5,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016774"
3383,6068,3750,5.466,0.7819792921,6.990558904,0.5,1,686,43,4,8,0,0,0,0,1,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016775"
3424,9298,9995,6.704,0.9466046632,7.081683539,2,2,1491,43,24,8,1,0,0,1,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016776"
3429,10604,4300,5.095,0.8618439948,5.911495306,2,1,844,2,9,26,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016777"
3478,3125,8000,6.601,0.9466046632,6.972984946,2,2,1212,8,4,15,0,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016778"
3493,3837,8500,6.866,0.9466046632,7.253199809,2,2,1238,6,16,8,1,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016779"
3524,9792,2995,4.815,0.7819792921,6.157595973,0.5,1,622,5,4,31,0,1,1,1,1,1,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016780"
3525,3704,3200,5.153,0.7749206845,6.649685792,1,1,621,3,7,31,0,0,0,0,1,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016781"
5,10817,3800,3.455,0.9660789048,3.575841929,3,2,1100,3,5,101,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962898
21,2443,2450,3.500,0.7749206845,4.516591272,1,1,700,3,2,106,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962899
46,6366,2000,2.667,0.8618439948,3.094140799,2,1,750,3,1,106,0,0,0,1,0,0,1,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962900
71,10520,1695,2.260,0.7749206845,2.916427507,1,1,750,1,4,87,1,1,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962901
77,3068,5200,2.600,0.9660789048,2.691291557,3,2,2000,5,4,106,0,0,0,0,0,1,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962902
137,4967,3500,3.333,0.9466046632,3.521357398,2,2,1050,5,4,96,0,0,1,0,0,1,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962903
153,4717,3500,3.395,0.9466046632,3.586251472,2,2,1031,3,6,13,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962904
244,8023,1600,2.909,0.7819792921,3.720163614,0.5,1,550,7,3,106,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962905
280,8349,1460,4.787,0.7819792921,6.121498733,0.5,1,305,5,3,57,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962906
336,7950,2850,3.353,0.9333084504,3.592532753,3,1,850,2,5,96,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962907
377,9711,1599,4.662,0.7819792921,5.961548634,0.5,1,343,6,16,55,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962908
403,1172,4600,4.541,0.9660789048,4.700410495,3,2,1013,2,6,96,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962909
620,10626,3900,3.545,0.9833575907,3.605458054,4,2,1100,4,4,106,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962910
710,8492,2095,2.993,0.8618439948,3.472620522,2,1,700,3,5,116,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962911
731,1983,1995,1.995,0.8618439948,2.314804085,2,1,1000,6,36,89,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962912
741,10342,2500,2.500,0.8618439948,2.900756999,2,1,1000,5,1,106,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962913
749,10744,1443,2.624,0.7749206845,3.385683743,1,1,550,4,3,101,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962914
757,935,2500,2.083,0.8618439948,2.417297499,2,1,1200,4,8,9,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962915
880,7054,1950,3.272,0.7749206845,4.22212511,1,1,596,5,3,57,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962916
898,5675,1600,2.909,0.7819792921,3.720163614,0.5,1,550,5,1,11,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962917
908,2717,2350,3.048,0.7749206845,3.93329238,1,1,771,5,16,58,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962918
922,9647,2450,2.816,0.8618439948,3.267519378,2,1,870,3,5,101,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962919
975,1852,2550,2.550,0.9022775993,2.826181213,2.5,1,1000,6,4,115,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962920
991,7257,2050,2.278,0.7749206845,2.939368923,1,1,900,3,2,106,0,0,0,1,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962921
996,10358,3600,3.429,0.9333084504,3.673567326,3,1,1050,3,4,101,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962922
1023,6555,5995,4.231,0.9660789048,4.379320581,3,2,1417,4,9,6,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962923
1106,2137,2125,4.474,0.7749206845,5.773086588,1,1,475,2,1,115,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962924
1132,6551,3200,3.556,0.8618439948,4.125521065,2,1,900,3,5,116,1,1,1,1,1,0,0,1,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962925
1183,1307,3600,3.093,0.9466046632,3.267238822,2,2,1164,4,4,12,0,1,0,1,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962926
1203,8350,1525,5.000,0.7819792921,6.394031211,0.5,1,305,6,9,55,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962927
1234,9650,3600,3.273,0.9466046632,3.457332718,2,2,1100,6,5,8,0,1,1,1,1,1,0,1,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962928
1258,966,3195,4.070,0.8618439948,4.722506299,2,1,785,1,11,28,0,0,1,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962929
1270,8352,1975,3.319,0.7749206845,4.283441902,1,1,595,6,14,55,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962930
1275,10730,6850,2.283,0.9660789048,2.363506047,3,2,3000,3,2,106,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962931
1311,2544,2000,3.448,0.7749206845,4.449843618,1,1,580,3,1,76,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962932
1313,3851,4800,3.310,0.9660789048,3.42657811,3,2,1450,3,3,116,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962933
1431,8745,3500,3.739,0.8618439948,4.338739101,2,1,936,3,5,116,0,1,0,1,1,1,0,1,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962934
1507,892,5995,4.890,0.9660789048,5.061580149,3,2,1226,0,16,10,0,0,1,0,1,1,0,1,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962935
1585,8351,1997,2.825,0.7749206845,3.645032439,1,1,707,6,15,55,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962936
1645,1027,2700,3.724,0.8618439948,4.321127668,2,1,725,4,4,96,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962937
1672,9130,1662,5.540,0.7819792921,7.084586582,0.5,1,300,4,3,86,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962938
1701,2086,2550,3.561,0.7749206845,4.595892954,1,1,716,5,0,96,0,1,1,1,1,1,0,1,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962939
1712,4962,2100,3.500,0.7749206845,4.516591272,1,1,600,3,3,107,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962940
1770,1065,2500,2.500,0.8618439948,2.900756999,2,1,1000,2,2,106,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962941
1807,1270,2950,3.054,0.9466046632,3.226088299,2,2,966,2,4,4,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962942
1880,7790,3200,3.197,0.9466046632,3.377125976,2,2,1001,2,4,4,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962943
1883,2518,5600,1.867,0.9833575907,1.898258258,4,2,3000,1,1,106,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962944
1946,5414,7495,4.567,0.9660789048,4.727705953,3,2,1641,4,12,6,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962945
2020,5159,2450,3.271,0.8618439948,3.79538299,2,1,749,5,7,57,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962946
2073,5096,1500,3.750,0.7819792921,4.795523408,0.5,1,400,3,1,106,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962947
2098,8904,2500,3.720,0.7749206845,4.800798546,1,1,672,4,4,107,0,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962948
2117,8348,1499,4.370,0.7819792921,5.588718825,0.5,1,343,7,2,57,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962949
2120,4974,2650,5.300,0.8618439948,6.149604838,2,1,500,3,1,116,1,0,0,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962950
2122,2501,3300,3.729,0.7749206845,4.811864793,1,1,885,1,4,106,0,0,1,0,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962951
2155,2588,2350,2.541,0.8618439948,2.947796302,2,1,925,8,1,106,0,0,0,1,0,0,0,0,Central Harlem,Upper Manhattan,Manhattan,40.816357，-73.962952
